name_de;name_en
Unternehmensleitung;Corporate Management
Strategie;Strategy
Unternehmenskommunikation;Corporate Communications
Finanzen;Finance
Controlling;Controlling
Recht Compliance;Legal Compliance
Risikomanagement;Riskmanagement
Marketing;Marketing
Entwicklung;Development
Einkauf;Purchasing
Produktion;Production
Vertrieb;Sales
Logistik;Logistic
Service;Service
Rechnungswesen;Accounting
Personal;Human Resources
Informatik;Information Technology
Qualitätssicherung;Quality Assurance
Instandhaltung Gebäudemgmt;Maintenance Facility Management
Allgemeine Dienste;General Services
