code;name_en;n1;n2;n3;n4;n5;n6;n7;n8;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;f17;f18;f19;f20;f21;f22;f23;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f35;f36;f37;f38;f39;f40;
S001;Active Directory (AD);S053;S100;;;;;;;S002;S003;S014;S015;S016;S022;S030;S035;S084;S091;S055;S125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S002;Adressen und Kontakte,  E-Mail, gemeinsame Folder, Kalender sowie Notizen (z.B. Exchange);S001;S004;S007;S053;S100;S057;S101;S092;S011;S030;S056;S012;S035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S003;File Server         ;S001;S100;;;;;;;S056;S018;S035;S112;S122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S004;Mail Relay;S007;S066;;;;;;;S002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S005;Marketing E-Mails (Massen-E-Mail-Service);S016;S007;S101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S006;Proxy für Internet-Zugriff;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S007;Firewalls inkl. Firewalls an entfernten Standorte für Punkt-zu-Punkt VPN und VPN-Clients;S008;S066;;;;;;;S002;S004;S018;S037;S039;S040;S051;S052;S062;S064;S079;S084;S086;S091;S102;S106;S108;S114;S116;S117;S005;S027;S029;S115;S120;S123;;;;;;;;;;;;;;;
S008;Internet          ;S060;S065;;;;;;;S007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S009;Telefonanschluss;S060;S065;;;;;;;S010;S069;S070;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S010;Telefonanlagen;S009;S066;S047;;;;;;S011;S056;S071;S012;S070;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S011;Fax Server   ;S002;S010;S100;S099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S012;CTI (Computer Telephony Integration);S010;S002;S047;S099;S100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S013;Mail Archivierung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S014;Terminal Server         ;S001;S100;S053;S092;;;;;S048;S057;S102;S103;S103;S122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S015;Printer Server         ;S001;S100;;;;;;;S056;S059;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S016;ERP-System;S100;S099;S001;S048;S039;;;;S079;S105;S111;S005;S035;S103;S102;S106;S113;S120;S123;S124;;;;;;;;;;;;;;
S017;Finanzbuchhaltungssystem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S018;Online-Banking System;S099;S007;S003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S019;DMS-System inkl. Archivfunktionen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S020;Warenwirtschaftssystem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S021;CRM-System;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S022;Anwendungsentwickungsumgebung (inkl. SVN);S099;S100;S001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S023;Virtual Desktop Infrastructure (VDI);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S024;Software-Escrow Hinterlegung (Deposit);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S025;Zeiterfassung (kommen/gehen);S100;S047;S099;;;;;;S103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S026;Zutrittskontrollsystem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S027;Videoüberwachungssystem;S066;S095;S047;S099;S007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S028;Produktionsplanungs- und Steuerungssystem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S029;Projektplanungs- und -management System;S007;S101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S030;Groupware-System (z.B. Sharepoint)        ;S100;S001;S002;S057;S053;S101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S031;Enterprise-Social-Network (z.B. Yammer);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S032;File-Sharing-System (z.B. Dropbox);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S033;Server Virtualisierung;S043;S044;;;;;;;S100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S034;IT-Monitoring System         ;S100;S089;S101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S035;IT-Ticket-System          ;S100;S099;S001;S016;S002;S003;S086;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S036;IT-Inventarisierungs-System und IT-Dokumentation;S053;S100;S099;S101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S037;Öffentlicher Web-Server (inkl. CMS);S007;S101;;;;;;;S082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S038;Kunden-Portal System;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S039;FTP/SFTP Server         ;S043;S007;S099;S100;;;;;S016;S123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S040;Tablets          ;S062;S007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S041;Thin-Client Management         ;S100;S048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S042;MPLS-Netzwerk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S043;Server-Hardware (z.B. Bladeserver);S066;S045;;;;;;;S100;S033;S039;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S044;Storage-Hardware          ;S066;S045;;;;;;;S100;S033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S045;USV-Systeme          ;S066;;;;;;;;S043;S044;S077;S078;S092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S046;Klimaanlagen          ;S095;;;;;;;;S066;S118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S047;Switche im Edge-Bereich        ;S060;S077;S095;S065;;;;;S010;S025;S048;S049;S050;S054;S055;S056;S059;S089;S012;S027;S071;S084;S055;;;;;;;;;;;;;;;;;;;;;;;;;;
S048;Thin Clients         ;S047;S014;S095;;;;;;S016;S041;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S049;Workstations (PCs)         ;S047;S095;;;;;;;S099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S050;Notebooks (Laptops)         ;S047;S055;;;;;;;S099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S051;Smartphones          ;S062;S007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S052;Antivirus Software         ;S100;S007;S099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S053;Microsoft Lizenzen;;;;;;;;;S001;S002;S100;S014;S030;S036;S057;S099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S054;Backup und Wiederherstellung Hard- und Software;S066;S047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S055;WLAN  ;S047;S001;;;;;;;S050;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S056;Multifunktionsdrucker (MFPs)         ;S047;S095;S015;S010;S002;S003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S057;Microsoft Office;S099;S053;S014;;;;;;S030;S002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S058;Kopierer          ;S095;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S059;Drucker;S095;S047;S015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S060;ITK-Verkabelung (inkl. Patchkabel)     ;;;;;;;;;S008;S009;S047;S066;S089;S065;S118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S061;Blackberry Server;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S062;Mobile Device Management  System (MDM)     ;S100;S007;S101;;;;;;S040;S051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S063;Enterprise PIM-Funktionen auf Smartphone bzw. Tablet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S064;Externe DNS-Verwaltung         ;S007;S101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S065;Netzwerkraum          ;S060;S095;;;;;;;S008;S009;S047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S066;Serverraum          ;S060;S095;S046;;;;;;S004;S007;S010;S077;S043;S044;S027;S045;S054;S078;S092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S067;Rechenzentrum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S068;WAN-Anbindung zum externen Rechenzentrum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S069;Einbruchmelde-System          ;S095;S009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S070;Facility-Management Alarmierungs-System         ;S095;S010;S009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S071;Frankiermaschine          ;S095;S010;S047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S072;Diverse Client-Software         ;S099;;;;;;;;S110;S105;S114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S073;QM-Software;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S074;Intranet und CMS für das Intranet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S075;Software Patch-Management System        ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S076;Software-Verteilung (inkl. Software Patch-Management System);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S077;Switche im Core-Bereich        ;S066;S045;;;;;;;S047;S092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S078;Router          ;S066;S045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S079;EDIFACT-Hard- und -Software        ;S016;S100;S007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S080;Personalverwaltungs- und Bewerber-Software (inkl. Abrechnung);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S081;Personalverwaltungs- und Bewerber-Software (ohne Abrechnung);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S082;Webshop-Software          ;S037;;;;;;;;S108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S083;Projekt-Datenraum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S084;Videokonferenz-System          ;S100;S099;S007;S001;S047;S101;S089;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S085;Telefonkonferenz-System;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S086;Fernwartungs-Software          ;S099;S101;S007;;;;;;S035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S087;Desktop-Publishing-Software;S099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S088;Bildbearbeitungs-Software          ;S099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S089;Beamer und Präsentationstechnik        ;S047;S060;S095;S099;;;;;S034;S084;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S090;Firewalls ohne VPN-Funktionen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S091;Zwei-Faktor-Authentisierung-System;S100;S099;S007;S001;S101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S092;Netzwerk Load-Balancer;S066;S045;S077;;;;;;S014;S002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
