code;name_de;purpose_de;name_en;purpose_en
S001;Active Directory (AD);"Benutzer-, Rechte-, Computer- und Druckerverwaltung; interne DHCP- und DNS-Verwaltung";Active directory (AD);"User, rights, computer and printer management; internal DHCP and DNS management"
S002;Adressen und Kontakte, Aufgaben, E-Mail, gemeinsame Folder, Kalender sowie Notizen (z.B. Exchange);Zentrale Bereitstellung von folgenden Funktionen: E-Mail, Kalender, Kontakte, Aufgaben;Addresses and contacts, tasks, e-mail, shared folder, calendar and notes (e.g. Exchange);Central provision of the following functions: e-mail, calendar, contacts, tasks
S003;File Server;Bereitstellung Gruppen- und persönliche Serverlaufwerke (Home-Laufwerke) im LAN;File server;Providing group and personal server drives (home drives) in the LAN
S004;Mail Relay;Anti-Spam, Anti-Virus-Filter und Verschlüsselung des Mail-Transports (TLS) mit externen Mail-Server;Mail relay;Anti-spam, anti-virus filtering and encryption of mail transport (TLS) with external mail server
S005;Marketing E-Mails (Massen-E-Mail-Service);Versenden von Newslettern und anderen Massenmails;Marketing e-mails (mass-mailing-service);Sending newsletters and other mass emails
S006;Proxy für Internet-Zugriff;Kontrolle und Filterung des Webbrowser-Zugriffs von Clients innerhalb des lokalen Netzwerks auf das Internet;Proxy for internet-access;Controlling and filtering Web browser access by clients within the local network to the internet
S007;Firewalls inkl. Firewalls an entfernten Standorte für Punkt-zu-Punkt VPN und VPN-Clients;Steuerung, Kontrolle und Routing des TCP / IP-Verkehrs sowie Punkt-zu-Punk-basierte VPN-Verbindungen;Firewalls incl. Firewalls at remote locations for site-to-site VPN and VPN clients;Management, control and routing of TCP / IP traffic and Site-to-Site-based VPN connections
S008;Internet;Bereitstellung von Internet-Konnektivität für alle Dienste, die dies erfordern;Internet;Providing Internet connectivity for all services that require this
S009;Telefonanschluss;Bereitstellung der Konnektivität zum externen Telefonnetz;Voice lines;Providing connectivity to the external telephone network
S010;Telefonanlagen;Bereitstellung der Verbindung zu externen und internen Sprachleitungen, Bereitstellung von Telefonendgeräten, Bereitstellung von Schnittstellen für Fax und CTI;PBX-systems;Provisioning of interconnectivity between internal and internal voice lines, provisioning of telephone terminals, provisioning of interfaces for fax and CTI
S011;Fax Server;Bereitstellung von Fax als Software-Services;Fax server;Providing fax as software services
S012;CTI (Computer Telephony Integration);Bereitstellung von Schnittstellen zwischen Telefon und Computer;CTI Computer Telephony Integration);Provisioning of interfaces between phone and computer
S013;Mail Archivierung;Bereitstellung von Services für Mail-Archivierung;Mail archiving;Provisioning of services for mail archiving
S014;Terminal Server;Bereitstellung von Terminal-Server Diensten;Terminal server;Provisioning of terminal server services
S015;Printer Server;Bereitstellung von Drucker-Konnektivität und Treiber für die Netzwerk-Drucker;Printer server;Provisioning of printer connectivity and drivers for the network printer
S016;ERP-System;Bereitstellung und Betrieb eines branchenspezifischen ERP-Systems;ERP-system;Provisioning and operation of an industry-specific ERP system
S017;Finanzbuchhaltungssystem;Bereitstellung und Betrieb eines Finanzbuchhaltungssystems;Financial accounting system;Provisioning and operation of a financial accounting system
S018;Online-Banking System;Bereitstellung von Online-Banking Funktionen;Online-banking system;Providing online banking functions
S019;DMS-System inkl. Archivfunktionen;Bereitstellung und Betrieb eines Dokumenten-Management-Systems;DMS-system incl. Document archiving;Provisioning and operation of a documenten management system
S020;Warenwirtschaftssystem;Bereitstellung und Betrieb eines Warenwirtshaft-Systems;Merchandise management system;Provisioning and operation of a merchandise management system
S021;CRM-System;Bereitstellung und Betrieb eines Kundenverwaltungs-Systems;CRM system;Provisioning and operation of a customer relationsship management system
S022;Anwendungsentwickungsumgebung (inkl. SVN);Bereitstellung einer Anwendungsentwicklungsumgebung;Application development environment (incl. SVN);Provisioning of an application development system
S023;Virtual Desktop Infrastructure (VDI);Bereitstellung und Betrieb von virtuellen Clients;Virtual Desktop Infrastructure (VDI);Provisioning and operation of virtual clients
S024;Software-Escrow Hinterlegung (Deposit);Sichere Hinterlegung von Software-Quellcode für Auftraggeber;Software-Escrow deposit;Safe and secure deposit of software source code for clients
S025;Zeiterfassung (kommen/gehen);Bereitstellung und Betrieb eines Systems für Kommen-/Gehen-Zeiterfassung und -verwaltung für Mitarbeiter;Time keeping system (coming/leaving);Provisioning and operation of a system of coming / going time-tracking and time-management for employees
S026;Zutrittskontrollsystem;Bereitstellung und Betrieb eines Systems für die Verwaltung und Steuerung von Zutrittskontrollen;Access control system;Provisioning and operation of a system for management and steering of access controls
S027;Videoüberwachungssystem;Bereitstellung und Betrieb eines Videoüberwachungssystems;Video monitoring system;Provisioning and operation of a video monitoring system
S028;Produktionsplanungs- und Steuerungssystem;Bereitstellung und Betrieb eines Produktionsplanungs- und Steuerungssystems;PPS-System;Provisioning and operation of a production planning and control system
S029;Projektplanungs- und -management System;Bereitstellung und Betrieb eines Projektplanungs- und -management Systems;Project planning and management system;Provisioning and operation of a project planning and management system
S030;Groupware-System (z.B. Sharepoint);Bereitstellung und Betrieb eines Groupware-Systems;Groupware-System (e.g. Sharepoint);Provisioning and operation of a groupware system
S031;Enterprise-Social-Network (z.B. Yammer);Bereitstellung und Betrieb eines Enterprise Social Networks;Enterprise social network (e.g. Yammer);Provisioning and operation of an enterprise social networks
S032;File-Sharing-System (z.B. Dropbox);Bereitstellung und Betrieb eines File-Sharing-Systems für interne und externe Anwender;File sharing system (e.g. Dropbox);Provisioning and operation of a file sharing system for collaboration with internal and external partners
S033;Server Virtualisierung;Bereitstellung und Betrieb von virtuellen Servern;Server virtualisation;Provisioning and operation of virtual server
S034;IT-Monitoring-System;Bereitstellung und Betrieb eines Systems für die proaktive Überwachung der IT-Systeme;IT monitoring system;Provisioning and operation  of a system for the proactive monitoring of the IT-systems
